"Date","Price","Open","High","Low","Vol.","Change %"
"05-08-2024","110.826","138.288","139.091","110.155","30.21M","-19.79%"
"04-08-2024","138.174","142.442","146.004","131.836","9.60M","-3.00%"
"03-08-2024","142.442","152.837","153.893","140.109","7.40M","-6.80%"
"02-08-2024","152.837","167.480","169.337","150.067","8.07M","-8.76%"
"01-08-2024","167.504","171.678","172.776","158.034","8.05M","-2.43%"
"31-07-2024","171.678","179.084","184.270","171.678","4.87M","-4.12%"
"30-07-2024","179.061","182.550","184.683","175.628","4.55M","-1.94%"
"29-07-2024","182.606","184.906","193.890","181.681","5.72M","-1.24%"
"28-07-2024","184.904","183.818","186.579","181.303","2.79M","0.59%"
"27-07-2024","183.818","183.058","188.137","178.149","4.98M","0.42%"
"26-07-2024","183.058","171.842","183.506","171.842","4.41M","6.53%"
"25-07-2024","171.837","178.142","179.549","165.693","6.74M","-3.51%"
"24-07-2024","178.082","173.003","182.383","171.035","5.05M","2.94%"
"23-07-2024","173.000","178.961","180.495","170.868","5.13M","-3.33%"
"22-07-2024","178.958","184.414","184.860","176.837","4.47M","-2.96%"
"21-07-2024","184.414","173.614","184.959","170.733","5.01M","6.22%"
"20-07-2024","173.607","169.155","174.965","167.361","3.06M","2.63%"
"19-07-2024","169.153","159.214","171.244","156.287","6.56M","6.25%"
"18-07-2024","159.209","155.477","161.546","155.304","3.63M","2.50%"
"17-07-2024","155.325","160.620","163.602","154.712","4.10M","-3.24%"
"16-07-2024","160.527","159.614","162.444","152.744","5.54M","0.57%"
"15-07-2024","159.616","147.694","159.933","147.053","4.94M","8.08%"
"14-07-2024","147.687","141.884","148.536","141.884","4.19M","4.09%"
"13-07-2024","141.884","139.497","143.508","137.991","2.20M","1.71%"
"12-07-2024","139.497","135.734","140.504","134.091","4.19M","2.74%"
"11-07-2024","135.776","142.082","145.511","135.735","4.78M","-4.43%"
"10-07-2024","142.077","141.368","145.963","138.669","3.85M","0.50%"
"09-07-2024","141.368","139.713","144.039","136.548","4.78M","1.16%"
"08-07-2024","139.747","131.492","141.723","128.120","7.88M","6.30%"
"07-07-2024","131.462","143.101","143.288","131.355","3.76M","-8.16%"
"06-07-2024","143.147","134.306","144.084","132.452","4.11M","6.58%"
"05-07-2024","134.309","127.674","136.137","121.261","10.68M","5.20%"
"04-07-2024","127.674","140.774","142.676","127.292","7.37M","-9.29%"
"03-07-2024","140.744","153.905","154.439","139.490","6.14M","-8.55%"
"02-07-2024","153.909","146.671","154.946","146.142","4.07M","4.94%"
"01-07-2024","146.669","146.553","149.088","145.871","3.68M","0.07%"
"30-06-2024","146.560","140.189","147.427","137.177","3.35M","4.55%"
"29-06-2024","140.185","139.961","143.008","139.713","2.68M","0.18%"
"28-06-2024","139.930","149.713","150.387","139.015","5.03M","-6.53%"
"27-06-2024","149.703","136.793","150.960","135.224","6.31M","9.43%"
"26-06-2024","136.796","136.573","140.325","134.910","3.63M","0.16%"
"25-06-2024","136.573","132.326","139.822","131.208","6.08M","3.25%"
"24-06-2024","132.275","128.638","132.546","123.337","8.62M","2.82%"
"23-06-2024","128.644","133.692","135.071","128.219","2.44M","-3.77%"
"22-06-2024","133.689","134.529","136.625","133.101","1.97M","-0.63%"
"21-06-2024","134.536","133.527","135.309","128.772","4.77M","0.76%"
"20-06-2024","133.527","135.652","141.118","131.977","5.02M","-1.56%"
"19-06-2024","135.646","137.394","141.771","134.658","4.66M","-1.26%"
"18-06-2024","137.376","143.225","143.750","129.144","9.04M","-4.08%"
"17-06-2024","143.225","151.265","151.731","139.984","4.56M","-5.31%"
"16-06-2024","151.256","145.505","151.256","143.095","2.05M","3.96%"
"15-06-2024","145.500","143.056","145.687","142.962","1.94M","1.71%"
"14-06-2024","143.050","147.242","148.939","139.857","4.57M","-2.85%"
"13-06-2024","147.250","155.229","155.237","146.046","3.73M","-5.15%"
"12-06-2024","155.237","149.351","161.663","145.513","5.58M","3.94%"
"11-06-2024","149.351","159.048","159.644","145.666","5.57M","-6.10%"
"10-06-2024","159.049","162.129","163.123","157.623","2.59M","-1.90%"
"09-06-2024","162.136","157.818","163.014","156.625","2.18M","2.73%"
"08-06-2024","157.829","162.504","163.716","157.403","2.69M","-2.88%"
"07-06-2024","162.504","170.114","172.583","155.049","5.11M","-4.47%"
"06-06-2024","170.106","173.491","174.371","167.754","3.07M","-1.95%"
"05-06-2024","173.491","171.784","175.565","171.207","3.80M","1.00%"
"04-06-2024","171.778","164.898","171.859","164.446","3.29M","4.13%"
"03-06-2024","164.958","163.243","167.095","161.793","3.57M","1.05%"
"02-06-2024","163.241","166.116","167.055","161.415","2.61M","-1.73%"
"01-06-2024","166.116","165.580","167.857","165.580","1.65M","0.32%"
"31-05-2024","165.580","166.847","170.821","164.024","3.82M","-0.79%"
"30-05-2024","166.895","168.276","172.361","163.638","4.86M","-0.83%"
"29-05-2024","168.291","168.695","173.765","167.307","4.60M","-0.24%"
"28-05-2024","168.694","170.132","173.139","165.068","5.32M","-0.84%"
"27-05-2024","170.124","163.356","172.203","163.356","4.17M","4.14%"
"26-05-2024","163.354","168.379","168.388","161.180","4.30M","-2.99%"
"25-05-2024","168.385","167.775","170.406","166.077","3.03M","0.36%"
"24-05-2024","167.785","176.040","176.077","162.703","6.89M","-4.69%"
"23-05-2024","176.040","176.955","180.710","167.284","8.44M","-0.56%"
"22-05-2024","177.027","178.179","183.244","175.100","5.95M","-0.65%"
"21-05-2024","178.179","186.752","188.752","174.507","7.58M","-4.61%"
"20-05-2024","186.788","169.932","188.229","167.848","6.98M","9.92%"
"19-05-2024","169.936","172.441","175.372","166.432","3.45M","-1.45%"
"18-05-2024","172.441","169.439","175.983","168.742","3.86M","1.77%"
"17-05-2024","169.441","159.320","171.959","159.301","5.47M","6.36%"
"16-05-2024","159.306","158.285","164.395","156.778","6.09M","0.65%"
"15-05-2024","158.285","142.021","158.730","141.362","6.79M","11.45%"
"14-05-2024","142.023","147.395","148.949","141.927","4.73M","-3.66%"
"13-05-2024","147.411","143.417","150.564","138.008","5.92M","2.78%"
"12-05-2024","143.417","145.389","147.731","142.893","1.92M","-1.36%"
"11-05-2024","145.391","146.032","147.551","143.254","3.06M","-0.44%"
"10-05-2024","146.032","152.814","155.560","144.769","5.90M","-4.43%"
"09-05-2024","152.795","142.169","153.202","140.643","5.30M","7.45%"
"08-05-2024","142.206","148.057","149.925","140.046","6.00M","-3.96%"
"07-05-2024","148.062","152.825","159.087","147.994","5.93M","-3.12%"
"06-05-2024","152.825","145.692","156.586","145.481","6.19M","4.90%"
"05-05-2024","145.692","146.056","147.966","143.255","3.24M","-0.25%"
"04-05-2024","146.057","143.650","147.803","142.376","4.00M","1.68%"
"03-05-2024","143.639","137.645","144.897","136.019","6.31M","4.35%"
"02-05-2024","137.648","134.642","140.670","128.284","7.71M","2.23%"
"01-05-2024","134.643","126.737","135.697","119.180","11.14M","6.24%"
"30-04-2024","126.740","137.718","139.687","121.528","8.60M","-7.95%"
"29-04-2024","137.686","137.973","138.890","133.513","5.85M","-0.15%"
"28-04-2024","137.895","141.306","144.586","137.178","4.14M","-2.41%"
"27-04-2024","141.306","139.104","142.952","133.850","5.50M","1.58%"
"26-04-2024","139.104","144.803","146.034","138.885","5.25M","-3.94%"
"25-04-2024","144.808","147.739","149.438","142.245","7.35M","-1.98%"
"24-04-2024","147.739","154.742","159.748","145.734","8.56M","-4.53%"
"23-04-2024","154.743","156.978","159.976","153.141","5.73M","-1.42%"
"22-04-2024","156.979","148.794","158.372","146.867","6.92M","5.51%"
"21-04-2024","148.785","151.150","153.334","146.915","5.12M","-1.56%"
"20-04-2024","151.138","142.362","152.226","139.718","6.72M","6.17%"
"19-04-2024","142.362","142.076","147.425","128.627","15.07M","0.23%"
"18-04-2024","142.037","131.892","143.720","128.002","10.57M","7.67%"
"17-04-2024","131.919","136.227","142.648","127.087","13.42M","-3.16%"
"16-04-2024","136.227","138.535","140.403","126.639","15.13M","-1.64%"
"15-04-2024","138.499","151.416","155.920","133.876","16.13M","-8.53%"
"14-04-2024","151.412","138.641","152.499","130.816","21.55M","9.21%"
"13-04-2024","138.641","153.255","154.838","119.471","26.82M","-9.55%"
"12-04-2024","153.281","172.374","175.891","142.597","11.54M","-11.11%"
"11-04-2024","172.432","173.313","176.257","170.184","6.30M","-0.52%"
"10-04-2024","173.329","172.389","175.431","163.229","7.87M","0.54%"
"09-04-2024","172.390","180.691","180.853","169.362","6.29M","-4.59%"
"08-04-2024","180.691","179.527","184.501","175.498","5.28M","0.64%"
"07-04-2024","179.541","178.698","182.620","176.961","3.53M","0.47%"
